RowType,Level,Controller,Trajectory,Condition,Traj_Cond,RunID,Repeat,RandomizationRank,UniqueKey,Completed,AttemptCount,Status,ExecutionTime_s,SimulatedDuration_s,RTF,StartTimestamp,EndTimestamp,ErrorIdentifier,ErrorMessage,SummaryRepresentative,ExecutionMean_s,ExecutionStd_s,ExecutionMedian_s,ExecutionCV_pct,ExecutionCI95Low_s,ExecutionCI95High_s,RTFMean,RTFStd,NormalityP_Log,BrownForsytheP_Log,Comparison_vs_L3,WelchT_t_Log,WelchT_df,WelchT_P_Log,WelchT_P_Log_Holm,RankSumP,RankSumP_Holm,HedgesG_Log,GeometricTimeRatio_vs_L3,TimeRatioCI95Low,TimeRatioCI95High,L3SlowdownFactor,L3SlowdownCI95Low,L3SlowdownCI95High
RAW,L1,C1,T1,DIST,T1/D1,C1_T1_L1_DIST,9,1,L1_T1_DIST_R09,1,1,COMPLETE,6.8110211,130,19.0867122699121,2026-09-13 10:45:40.690,2026-09-13 10:45:50.116,,,0,6.91311521,0.135388202911877,6.8797484,1.95842538131051,6.81626432406003,7.00996609593997,18.8112537131267,0.364158019834713,0.380821009388539,0.00580974195651908,L1_vs_L3,-348.029000681095,11.8062714413417,4.76751393979356e-25,1.21507108642722e-24,0.00018267179110955,0.0014613743288764,-149.066823237095,0.0994719708592174,0.0980425176387541,0.100922265410143,10.0530832088901,9.90861625961374,10.1996564764339
RAW,L1,C1,T2,DIST,T2/D1,C1_T2_L1_DIST,9,2,L1_T2_DIST_R09,1,1,COMPLETE,6.8549457,130,18.9644098858434,2026-09-13 10:45:50.760,2026-09-13 10:46:00.184,,,0,6.96669766,0.140768962114217,6.92465105,2.02059812244266,6.86599761080527,7.06739770919473,18.6668197396919,0.363862047873568,0.0257751585056343,0.970483864483072,L1_vs_L3,-256.984610115906,17.3417362969231,1.68745995358328e-32,6.74983981433312e-32,0.00018267179110955,0.0014613743288764,-110.070940570564,0.0787300343699464,0.0771065833496194,0.0803876665600376,12.7016329664112,12.4397192105726,12.9690612209565
RAW,L1,C1,T2,NOM,T2/D0,C1_T2_L1_NOM,9,3,L1_T2_NOM_R09,1,1,COMPLETE,4.4791243,130,29.0235303360525,2026-09-13 10:46:00.824,2026-09-13 10:46:07.802,,,0,4.53290382,0.0590886955431089,4.5189874,1.30355061323822,4.49063431357844,4.57517332642156,28.6835303390534,0.370162129793339,0.0817589928855732,0.70234411503295,L1_vs_L3,-507.88843422509,17.1180358181785,3.29879625616959e-37,1.97927775370175e-36,0.00018267179110955,0.0014613743288764,-217.537375622816,0.0699765381123769,0.069208079492792,0.0707535293867377,14.2905040314237,14.1335705606149,14.4491800282386
RAW,L1,C1,T1,NOM,T1/D0,C1_T1_L1_NOM,9,4,L1_T1_NOM_R09,1,1,COMPLETE,4.5800626,130,28.3838915214827,2026-09-13 10:46:08.441,2026-09-13 10:46:15.467,,,0,4.60642414,0.112527900255677,4.57254905,2.44284713772963,4.52592652943772,4.68692175056228,28.2364822758735,0.683514312149514,0.381111479930845,0.0053543495986327,L1_vs_L3,-294.172189350967,11.5422066754125,9.96689191184197e-24,9.96689191184197e-24,0.00018267179110955,0.0014613743288764,-125.999022108596,0.0889269866368333,0.0873403883492266,0.0905424065746961,11.2451803194892,11.0445484920374,11.4494567622203
RAW,L1,C1,T2,NOM,T2/D0,C1_T2_L1_NOM,10,1,L1_T2_NOM_R10,1,1,COMPLETE,4.51613,130,28.7857081173483,2026-09-13 10:46:16.099,2026-09-13 10:46:23.143,,,0,4.53290382,0.0590886955431089,4.5189874,1.30355061323822,4.49063431357844,4.57517332642156,28.6835303390534,0.370162129793339,0.0817589928855732,0.70234411503295,L1_vs_L3,-507.88843422509,17.1180358181785,3.29879625616959e-37,1.97927775370175e-36,0.00018267179110955,0.0014613743288764,-217.537375622816,0.0699765381123769,0.069208079492792,0.0707535293867377,14.2905040314237,14.1335705606149,14.4491800282386
RAW,L1,C1,T2,DIST,T2/D1,C1_T2_L1_DIST,10,2,L1_T2_DIST_R10,1,1,COMPLETE,6.952389,130,18.6986084927066,2026-09-13 10:46:23.779,2026-09-13 10:46:33.356,,,0,6.96669766,0.140768962114217,6.92465105,2.02059812244266,6.86599761080527,7.06739770919473,18.6668197396919,0.363862047873568,0.0257751585056343,0.970483864483072,L1_vs_L3,-256.984610115906,17.3417362969231,1.68745995358328e-32,6.74983981433312e-32,0.00018267179110955,0.0014613743288764,-110.070940570564,0.0787300343699464,0.0771065833496194,0.0803876665600376,12.7016329664112,12.4397192105726,12.9690612209565
RAW,L1,C1,T1,NOM,T1/D0,C1_T1_L1_NOM,10,3,L1_T1_NOM_R10,1,1,COMPLETE,4.4715333,130,29.0728014929465,2026-09-13 10:46:33.987,2026-09-13 10:46:40.969,,,0,4.60642414,0.112527900255677,4.57254905,2.44284713772963,4.52592652943772,4.68692175056228,28.2364822758735,0.683514312149514,0.381111479930845,0.0053543495986327,L1_vs_L3,-294.172189350967,11.5422066754125,9.96689191184197e-24,9.96689191184197e-24,0.00018267179110955,0.0014613743288764,-125.999022108596,0.0889269866368333,0.0873403883492266,0.0905424065746961,11.2451803194892,11.0445484920374,11.4494567622203
RAW,L1,C1,T1,DIST,T1/D1,C1_T1_L1_DIST,10,4,L1_T1_DIST_R10,1,1,COMPLETE,6.7306295,130,19.3146866871813,2026-09-13 10:46:41.612,2026-09-13 10:46:51.020,,,0,6.91311521,0.135388202911877,6.8797484,1.95842538131051,6.81626432406003,7.00996609593997,18.8112537131267,0.364158019834713,0.380821009388539,0.00580974195651908,L1_vs_L3,-348.029000681095,11.8062714413417,4.76751393979356e-25,1.21507108642722e-24,0.00018267179110955,0.0014613743288764,-149.066823237095,0.0994719708592174,0.0980425176387541,0.100922265410143,10.0530832088901,9.90861625961374,10.1996564764339
RAW,L2,C1,T2,DIST,T2/D1,C1_T2_L2_DIST,1,1,L2_T2_DIST_R01,1,1,COMPLETE,9.3199287,130,13.9486045638954,2026-09-13 10:47:11.610,2026-09-13 10:47:24.114,,,1,9.23819567,0.102587334568455,9.25790715,1.11046938420666,9.16480911175133,9.31158222824867,14.0735739843961,0.156296870035604,0.349521570728081,0.970483864483072,L2_vs_L3,-268.568606351905,12.6366264568275,4.0502369547574e-25,1.21507108642722e-24,0.00018267179110955,0.0014613743288764,-115.03256594061,0.104412964707448,0.102526974810727,0.106333647502277,9.57735471645574,9.40436092892029,9.75353073516585
RAW,L2,C1,T1,NOM,T1/D0,C1_T1_L2_NOM,1,2,L2_T1_NOM_R01,1,1,COMPLETE,5.8326361,130,22.2883783200533,2026-09-13 10:47:24.761,2026-09-13 10:47:33.233,,,1,5.75260336,0.0492244125963755,5.75518785,0.855689320397982,5.71739033650683,5.78781638349317,22.5999540292591,0.193486456594063,0.5,0.0053543495986327,L2_vs_L3,-551.922966646515,17.8972778918797,2.55766635705194e-39,2.04613308564155e-38,0.00018267179110955,0.0014613743288764,-236.398125295823,0.111079956520066,0.11015427871315,0.112013413229557,9.00252422964671,8.92750226216774,9.07817664172699
